ID,Jenis,Penjelasan,Harga,Gambar
1,Bacan,"Jenis batu akik yang satu ini merupakan yang paling banyak diburu oleh para koletor batu cincin. Jenis batu akik ini memiliki popularitas yang sangat tinggi. Tidak hanya kolektor lokal, batu akik yang berasal dari Halmahera Selatan, Maluku Utara tepatnya di daerah Pulau Kasiruta ini juga sangat diminati oleh kolektor batu cincin dari mancanegara. Batu yang berasal dari daerah Maluku Utara ini, juga sering disebut dengan istilah batu gioknya Indonesia. Batu ini melonjak pamornya ketika mantan Presiden Susilo Bambang Yudhoyono memberikan batu ini kepada Presiden Amerika Serikat, Barack Obama.Jenis batu akik bacan ini diyakini dapat bermetamorfosa secara alami sehingga semakin lama akan semakin Indah warnanya. Dari jenis batu akik bacan ini yang paling populer adalah jenis batu bacan doko dan batu bacan palamea.",Rp 100.000 – Rp 3.000.000 ,https://storage.googleapis.com/agatepedia_bucket/bacan.jpg
2,Merah Delima,"Salah satu batu akik yang sangat terkenal di Indonesia adalah batu Merah Delima. Batu yang berwarna merah muda hingga merah darah ini, memiliki kandungan mineral korundum dan yang memberi warna merah adalah kromium.Meski sangat terkenal, namun batu Merah Delima sangat langka keberadaannya dan harganya juga cukup mahal. Konon, macam-macam batu akik satu ini memiliki mitos gaib yang hanya bisa diperoleh melalui pertapaan. Saat ini, batu merah delima yang asli hanya ada beberapa saja yang punya dan termasuk jenis pusaka.",Rp 200.000 – Rp 2.700.000 ,https://storage.googleapis.com/agatepedia_bucket/merahdelima.jpg
3,Sulaiman,"Menurut cerita yang beredar, jenis batu cincin ini dinamakan batu akik Sulaiman karena Nabi Sulaiman AS pernah memakai jenis batu mulai tersebut. Hampir seluruh daerah di Indonesia bisa menemukan sumber batu jenis sulaiman. Batu Akik Sulaiman juga sudah menjadi target para kolektor, seperti jenis madu, Daud, Wulung, Combong, Kuning, Emas, Hijau, Biru, Hitam, Pancawarna, Susu, Derajat, Kurung.",Rp 100.000 – Rp 350.000 ,https://storage.googleapis.com/agatepedia_bucket/sulaiman.jpg
4,Safir,"Ini adalah salah satu jenis batu akik termahal, namun tetap banyak diburu kolektor baru cincin. Selain warnanya yang begitu dikagumi, batu akik jenis ini juga dianggap memiliki khasiat bisa menenangkan jiwa atau pikiran. Hal ini yang membuat harga batu akik safir semakin mahal.",Rp 300.000 – Rp 8.000.000 ,https://storage.googleapis.com/agatepedia_bucket/safir.jpg
5,Zamrud,"Jenis batu akik yang satu ini sudah dikenal sejak ribuan tahun lalu, dan telah dijadikan perhiasan sejak lama. Pada zaman kerajaan, salah satu batu akik termahal ini juga dianggap sebagai lambang kemakmuran dan kedamaian.",Rp 200.000 – Rp 5.000.000 ,https://storage.googleapis.com/agatepedia_bucket/zamrud.jpg
6,Topaz,"Salah satu jenis batu akik yang juga menjadi primadona di kalangan pecinta batu mulia. Batu akik topaz memiliki pilihan warna jingga, kuning dan juga kemerahan. Jenis batu akik termahal ini banyak ditemukan di negara Brazil, Srilanka, Meksiko, dan Rusia. Batu akik ini juga diyakini mampu mengurangi depresi bagi penggunanya.",Rp 50.000 - Rp 1.200.000 ,https://storage.googleapis.com/agatepedia_bucket/topazkuning.jpg
7,Kalimaya (Black Opal),"Walaupun agak lembek, jenis batu akik yang satu ini menjadi salah satu buruan para kolektor karena mampu memancarkan warna semacam berlian. Struktur dari batu opal kalimaya mampu memancarkan dan menyebarkan cahaya dengan berbagai warna sesuai tempat dimana batu akik tersebut berasal.Jenis batu akik ini sering disebut dengan opal ini di luar negeri bisa ditemukan di negara India, Meksiko, Australia dan juga Mesir, untuk di Indonesia sendiri bisa ditambang di Banten.",Rp 100.000 – Rp 1.000.000 ,https://storage.googleapis.com/agatepedia_bucket/kalimaya.jpg
8,Kecubung Kalimantan,"Jenis batu kecubung termasuk kedalam batu asli dari Kalimantan dan ada beberapa jenis batu kecubung yang sudah terkenal, seperti: Batu Kecubung Wulung Kalimantan, Batu Kecubung The, Batu Kecubung Tanduk, Batu Kecubung Air, Batu kecubung Es. Gambar batu akik yang memiliki motif unik ini sangat cocok dikenakan oleh kalangan muda maupun tua. Batu akik ini juga bisa memberikan kesan berwibawa kepada pemiliknya.",Rp 100.000 – Rp 1.000.000 ,https://storage.googleapis.com/agatepedia_bucket/kecubung.jpg
9,Kalsedon,"Jenis batu akik kalsedon memiliki ciri seperti tertutup kabut yang transparan, hal ini semakin menambah keindahan dari batu cincin tersebut. Batu kalsedon bisa ditemukan di pulau Jawa dan pulau Sulawesi, batu ini juga ikut melengkapi kecantikan jenis batu akik di Indonesia. Selain dari pulau Jawa dan Sumatera, jenis batu kalsedon juga sempat ditemukan di daerah lain di Indonesia.",Rp 50.000 – Rp 500.000 ,https://storage.googleapis.com/agatepedia_bucket/kalsedon.jpg
10,Sungai Dareh,"Jenis batu akik termahal yang terakhir adalah batu akik sungai dareh. Batu ini sangat populer di Indonesia, tak sedikit yang memburunya. Bahkan beberapa pemimpin negara juga memakai batu akik jenis ini. Warna yang eksotis dan keindahannya membuat batu ini sangat mahal dan berkelas.",Rp 200.000 – Rp 2.000.000,https://storage.googleapis.com/agatepedia_bucket/sungaidareh.jpg
